PART,Q,BKT,FEAT,SYNS,TAGS,BUND,BUL,COV%,MANUFACTURER,NAME
"KL4069IA1WFS",55,"medium",0,0,1,0,0,50,"Kaspersky","Kaspersky Next EDR Expert Middle East Ed"
"KL4065IAYDS",55,"medium",0,0,1,0,0,50,"Kaspersky","Kaspersky Next XDR Foundations 5000+ Use"
"KL4066IAXRS",55,"medium",0,0,1,0,0,50,"Kaspersky","Kaspersky Next EDR Optimum 2500-4999 Use"
"KL4054IAYRS",55,"medium",0,0,1,0,0,50,"Kaspersky","Kaspersky Next XDR Expert 5000+ User 4 y"
"KL4065IASFS",55,"medium",0,0,1,0,0,50,"Kaspersky","Kaspersky Next XDR Foundations 150-249 U"
"KL4069IA1TXS",55,"medium",0,0,1,0,0,50,"Kaspersky","Kaspersky Next EDR Expert Middle East Ed"
"KL4069IA1YXS",55,"medium",0,0,1,0,0,50,"Kaspersky","Kaspersky Next EDR Expert Middle East Ed"
"KL4066IAWRS",55,"medium",0,0,1,0,0,50,"Kaspersky","Kaspersky Next EDR Optimum 1500-2499 Use"
"KL4066IAQTS",55,"medium",0,0,1,0,0,50,"Kaspersky","Kaspersky Next EDR Optimum 50-99 User 3 "
"KL4065IAWXS",55,"medium",0,0,1,0,0,50,"Kaspersky","Kaspersky Next XDR Foundations 1500-2499"
"KL4056IAWDS",55,"medium",0,0,1,0,0,50,"Kaspersky","Kaspersky Next XDR Core 1500-2499 User 2"
"KL4069IA1XTS",55,"medium",0,0,1,0,0,50,"Kaspersky","Kaspersky Next EDR Expert Middle East Ed"
"KL4054IAWFS",55,"medium",0,0,1,0,0,50,"Kaspersky","Kaspersky Next XDR Expert 1500-2499 User"
"KL4069IA1XFS",55,"medium",0,0,1,0,0,50,"Kaspersky","Kaspersky Next EDR Expert Middle East Ed"
"KL4056IAXFS",55,"medium",0,0,1,0,0,50,"Kaspersky","Kaspersky Next XDR Core 2500-4999 User 1"
"KL4066IAUFS",55,"medium",0,0,1,0,0,50,"Kaspersky","Kaspersky Next EDR Optimum 500-999 User "
"KL4065IAQDS",55,"medium",0,0,1,0,0,50,"Kaspersky","Kaspersky Next XDR Foundations 50-99 Use"
"KL4069IA1URS",55,"medium",0,0,1,0,0,50,"Kaspersky","Kaspersky Next EDR Expert Middle East Ed"
"KL4069IA1XDS",55,"medium",0,0,1,0,0,50,"Kaspersky","Kaspersky Next EDR Expert Middle East Ed"
"KL4065IAURS",55,"medium",0,0,1,0,0,50,"Kaspersky","Kaspersky Next XDR Foundations 500-999 U"